policy_id,owner_age,gender,zone,vehicle_class,vehicle_age,bonus_class,duration_years,claim_count,claim_cost,is_zero_exposure
1,0,Male,1,4,12,1,0.175342,0,0,False
2,4,Male,3,6,9,1,0.0,0,0,True
3,5,Female,3,3,18,1,0.454795,0,0,False
4,5,Female,4,1,25,1,0.172603,0,0,False
5,6,Female,2,1,26,1,0.180822,0,0,False
6,9,Female,3,3,8,1,0.542466,0,0,False
7,9,Female,4,3,6,1,0.0,0,0,True
8,9,Male,4,4,20,1,0.50411,0,0,False
9,10,Male,2,3,16,1,0.150685,0,0,False
10,10,Male,4,2,17,1,0.523288,0,0,False
11,10,Male,4,4,21,2,1.00274,0,0,False
12,11,Female,2,3,13,1,1.065753,0,0,False
13,11,Male,4,4,22,3,1.0,0,0,False
14,12,Female,2,3,14,1,0.517808,0,0,False
15,12,Male,2,1,18,1,0.975342,0,0,False
16,12,Male,4,4,23,4,1.0,0,0,False
17,13,Female,4,4,10,7,0.671233,0,0,False
18,13,Male,2,2,58,1,0.931507,0,0,False
19,13,Male,4,4,24,5,0.49589,0,0,False
20,13,Male,4,5,18,1,0.0,0,0,True
21,13,Male,6,1,13,1,0.580822,0,0,False
22,14,Male,2,1,40,1,1.0,0,0,False
23,14,Male,2,1,51,1,0.169863,0,0,False
24,14,Male,2,2,59,1,1.0,0,0,False
25,14,Male,4,1,15,1,0.939726,0,0,False
26,14,Male,4,3,5,1,0.435616,0,0,False
27,14,Male,4,5,13,1,0.194521,0,0,False
28,15,Female,4,2,11,1,0.208219,0,0,False
29,15,Female,4,5,18,1,0.254795,0,0,False
30,15,Male,2,1,41,1,1.0,0,0,False
31,15,Male,2,2,60,1,0.991781,0,0,False
32,15,Male,2,3,4,1,0.087671,0,0,False
33,15,Male,3,1,4,1,0.249315,0,0,False
34,15,Male,3,1,5,1,0.460274,0,0,False
35,15,Male,3,2,10,1,0.0,0,0,True
36,15,Male,3,2,15,1,0.553425,0,0,False
37,15,Male,4,1,1,1,0.008219,0,0,False
38,15,Male,4,2,4,1,0.0,0,0,True
39,15,Male,4,2,6,1,0.624658,0,0,False
40,15,Male,4,2,8,1,0.035616,0,0,False
41,15,Male,4,2,10,1,0.454795,0,0,False
42,15,Male,4,3,4,1,0.145205,0,0,False
43,15,Male,4,3,10,1,0.013699,0,0,False
44,16,Female,1,3,7,1,0.232877,0,0,False
45,16,Female,2,2,11,1,0.0,0,0,True
46,16,Female,3,1,15,1,0.50137,0,0,False
47,16,Female,4,1,10,1,0.336986,0,0,False
48,16,Female,4,1,10,2,0.249315,0,0,False
49,16,Female,4,1,13,1,0.473973,0,0,False
50,16,Female,4,1,16,1,0.50411,0,0,False
51,16,Female,4,1,17,1,0.443836,0,0,False
52,16,Female,4,2,12,1,0.835616,0,0,False
53,16,Female,4,2,12,2,0.252055,0,0,False
54,16,Female,4,3,11,1,0.0,0,0,True
55,16,Female,5,3,8,1,0.465753,0,0,False
56,16,Female,6,1,13,1,0.243836,0,0,False
57,16,Male,1,1,3,2,0.0,0,0,True
58,16,Male,1,1,9,1,0.438356,0,0,False
59,16,Male,1,1,13,1,0.060274,0,0,False
60,16,Male,1,2,7,1,0.167123,0,0,False
61,16,Male,1,2,7,3,0.09589,0,0,False
62,16,Male,1,2,13,1,0.441096,0,0,False
63,16,Male,1,3,6,1,0.517808,0,0,False
64,16,Male,1,3,8,1,0.884932,0,0,False
65,16,Male,2,1,4,1,0.635616,0,0,False
66,16,Male,2,1,6,1,0.372603,0,0,False
67,16,Male,2,1,8,1,1.120548,0,0,False
68,16,Male,2,1,9,1,0.293151,0,0,False
69,16,Male,2,1,18,1,0.342466,0,0,False
70,16,Male,2,2,9,1,0.953425,0,0,False
71,16,Male,2,2,10,1,0.424658,1,6847,False
72,16,Male,2,2,11,1,0.010959,0,0,False
73,16,Male,2,2,12,1,1.70137,0,0,False
74,16,Male,2,2,12,2,0.021918,0,0,False
75,16,Male,2,2,13,1,0.460274,0,0,False
76,16,Male,2,3,4,2,0.578082,0,0,False
77,16,Male,2,3,5,1,1.243836,0,0,False
78,16,Male,2,3,5,2,0.046575,0,0,False
79,16,Male,2,3,6,1,1.50137,0,0,False
