age_group,zone,vehicle_class,bonus_class,gender,vehicle_age_group,predicted_frequency,predicted_severity,base_pure_premium
<25,1,1,1,Female,0-2,0.13467518439224024,20763.111626735903,2796.275886887325
<25,1,2,1,Female,0-2,0.170994965281648,28038.57543157506,4794.455232469047
<25,1,3,1,Female,0-2,0.09986281720421954,31163.03943542659,3112.0289106678906
<25,1,4,1,Female,0-2,0.11195499923419293,24961.291933143893,2794.541419259591
<25,1,5,1,Female,0-2,0.16808732322029593,28701.407459947895,4824.342752597675
<25,1,6,1,Female,0-2,0.2647636284964503,36895.87644162946,9768.686123242514
<25,1,7,1,Female,0-2,0.16778268611469596,30484.879175940026,5114.834914021177
<25,2,1,1,Female,0-2,0.07887083408299485,24392.021191780474,1923.819056365812
<25,2,2,1,Female,0-2,0.10014105862648737,32939.067053594146,3298.55304491577
<25,2,3,1,Female,0-2,0.05848340748385312,36609.61478097652,2141.055019062742
<25,2,4,1,Female,0-2,0.06556504235884018,29323.94588793053,1922.6257542705027
<25,2,5,1,Female,0-2,0.09843823448981699,33717.74672229286,3319.115458317323
<25,2,6,1,Female,0-2,0.15505550119416364,43344.41851647552,6720.790537041698
<25,2,7,1,Female,0-2,0.098259827586424,35812.92786245514,3518.972117129882
<25,3,1,1,Female,0-2,0.04843555464824032,15700.250285842865,760.4503307109928
<25,3,2,1,Female,0-2,0.06149786260066505,21201.67053224177,1303.8574212963733
<25,3,3,1,Female,0-2,0.0359153838314767,23564.26761072636,846.3197159468717
<25,3,4,1,Female,0-2,0.04026430339057992,18874.749500634392,759.97864031474
<25,3,5,1,Female,0-2,0.0604521372385971,21702.878103149695,1311.9853655641493
<25,3,6,1,Female,0-2,0.09522150093781577,27899.214003319536,2656.605032381414
<25,3,7,1,Female,0-2,0.06034257535276969,23051.469432916583,1390.985031247836
<25,4,1,1,Female,0-2,0.030971192671924615,16070.222625934572,497.71396122854196
<25,4,2,1,Female,0-2,0.03932363664149639,21701.282418540162,853.3733444811674
<25,4,3,1,Female,0-2,0.022965407965472792,24119.55348654128,553.9153857634622
<25,4,4,1,Female,0-2,0.025746241726082583,19319.52809424008,497.40524034814865
<25,4,5,1,Female,0-2,0.038654967480882145,22214.300816314186,858.6930756651585
<25,4,6,1,Female,0-2,0.060887574705662736,28556.651770463548,1738.7452680176953
<25,4,7,1,Female,0-2,0.03858491022025813,23594.671352209476,910.3982758014992
<25,5,1,1,Female,0-2,0.025078952788243906,15619.775739582701,391.7276183359521
<25,5,2,1,Female,0-2,0.031842352254265384,21092.997435636542,671.6506544438552
<25,5,3,1,Female,0-2,0.01859626099097404,23443.484584379563,435.9611578689989
<25,5,4,1,Female,0-2,0.020848043779355556,18778.003469572235,391.4846384225325
<25,5,5,1,Female,0-2,0.03130089676407365,21591.635974133096,675.8375685937989
<25,5,6,1,Female,0-2,0.04930377165675676,27756.21140482231,1368.485909160027
<25,5,7,1,Female,0-2,0.031244167830503846,22933.314848787646,716.5323380453071
<25,6,1,1,Female,0-2,0.034549206201874176,12941.449418158822,447.1168044990937
<25,6,2,1,Female,0-2,0.0438665841940987,17476.176607253696,766.6201725330325
<25,6,3,1,Female,0-2,0.025618536028434367,19423.625216672903,497.604842416141
<25,6,4,1,Female,0-2,0.028720631579812125,15558.135156809383,446.83946790764486
<25,6,5,1,Female,0-2,0.04312066559304212,17889.313487800882,771.3991045965598
<25,6,6,1,Female,0-2,0.0679217425018601,22996.847837255023,1561.985977156494
<25,6,7,1,Female,0-2,0.04304251481696847,19000.934395888133,817.8480002712607
<25,7,1,1,Female,0-2,0.02140692187062332,407.0287330186237,8.713232286828475
<25,7,2,1,Female,0-2,0.027180032301965033,549.652963328755,14.939585298146364
<25,7,3,1,Female,0-2,0.015873418219683837,610.9032541190999,9.697122844398265
<25,7,4,1,Female,0-2,0.017795497607428188,489.32757347280005,8.707827662983854
<25,7,5,1,Female,0-2,0.02671785609098752,562.6467614435496,15.032715202308944
<25,7,6,1,Female,0-2,0.042084771110458684,723.2866687626154,30.439353902120814
<25,7,7,1,Female,0-2,0.026669433341481735,597.6089697091008,15.937892581928443
25-34,1,1,1,Female,0-2,0.06933355606286916,36452.16984247889,2527.3585613867385
25-34,1,2,1,Female,0-2,0.08803172659703903,49225.13215489587,4333.373375562908
25-34,1,3,1,Female,0-2,0.05141143311940214,54710.509037831434,2812.745676326917
25-34,1,4,1,Female,0-2,0.05763673724266039,43822.586392254576,2525.7908971841616
25-34,1,5,1,Female,0-2,0.08653481263489168,50388.81446367706,4360.386618508614
25-34,1,6,1,Female,0-2,0.13630576384660958,64775.20222959124,8829.233418223042
25-34,1,7,1,Female,0-2,0.0863779791845774,53519.916153507096,4622.942203467964
25-34,2,1,1,Female,0-2,0.04060432826801945,42823.16231152987,1738.8057399720374
25-34,2,2,1,Female,0-2,0.051554677528807435,57828.541707800396,2981.3318197068406
25-34,2,3,1,Female,0-2,0.030108461553834592,64272.635039224675,1935.1501610421383
25-34,2,4,1,Female,0-2,0.03375423290241257,51481.75645225021,1737.7271975145345
25-34,2,5,1,Female,0-2,0.05067802862516692,59195.60865068292,2999.9167496834875
25-34,2,6,1,Female,0-2,0.07982576250715157,76096.40278827686,6074.4533766255345
25-34,2,7,1,Female,0-2,0.05058618108031876,62873.95417735292,3180.5532312512387
25-34,3,1,1,Female,0-2,0.024935620164878925,27563.70048369968,687.3179656000246
25-34,3,2,1,Female,0-2,0.0316603650747666,37222.11338450777,1178.4656986078721
25-34,3,3,1,Female,0-2,0.01848997860768945,41369.94014200441,764.9293082270547
25-34,3,4,1,Female,0-2,0.02072889188205928,33136.92026995712,686.8916375803597
25-34,3,5,1,Female,0-2,0.031122004141054156,38102.04428453463,1185.8119800059158
25-34,3,6,1,Female,0-2,0.049021988003626574,48980.466203877186,2401.1198266585043
25-34,3,7,1,Female,0-2,0.03106559942783509,40469.660520699195,1257.2142627165133
25-34,4,1,1,Female,0-2,0.015944607264829814,28213.231961470934,449.84890329719815
25-34,4,2,1,Female,0-2,0.02024461728404495,38099.242865968576,771.3045906334137
25-34,4,3,1,Female,0-2,0.011823064567287241,42344.81208895635,500.64544741737626
25-34,4,4,1,Female,0-2,0.013254695006947263,33917.78323153449,449.5698720457398
25-34,4,5,1,Female,0-2,0.019900372641320472,38999.90911022722,776.1127242711508
25-34,4,6,1,Female,0-2,0.03134617630885859,50134.67823045697,1571.5304629997986
25-34,4,7,1,Female,0-2,0.019864305722021226,41423.31761106178,822.8454450465172
25-34,5,1,1,Female,0-2,0.012911160931307735,27422.417622006946,354.05524704326086
25-34,5,2,1,Female,0-2,0.016393098143193955,37031.324535226646,607.0581374784367
25-34,5,3,1,Female,0-2,0.009573737803263298,41157.89083698544,394.03485540863164
25-34,5,4,1,Female,0-2,0.010733001916427185,32967.07083605429,353.8356344623615
25-34,5,5,1,Female,0-2,0.016114345715609237,37906.74518614087,610.8423968829802
25-34,5,6,1,Female,0-2,0.025382596145690575,48729.40773527923,1236.8788769632831
25-34,5,7,1,Female,0-2,0.016085140493327203,40262.225765939795,647.6235580192001
25-34,6,1,1,Female,0-2,0.017786642252878855,22720.289746510225,404.117665602929
25-34,6,2,1,Female,0-2,0.022583420161876203,30681.55531488205,692.8944548958273
25-34,6,3,1,Female,0-2,0.013188949486067547,34100.53840114734,449.7502784204389
25-34,6,4,1,Female,0-2,0.014785972106043398,27314.200075772256,403.86700041925707
25-34,6,5,1,Female,0-2,0.02219940591769245,31406.86739760987,697.2137979626826
25-34,6,6,1,Female,0-2,0.03496751062857146,40373.76566072269,1411.770079856774
25-34,6,7,1,Female,0-2,0.022159172290103887,33358.45321338276,739.1957120867182
25-34,7,1,1,Female,0-2,0.011020723857541201,714.5884862295254,7.875282378513982
25-34,7,2,1,Female,0-2,0.013992839897737456,964.9826834183137,13.502848193161533
25-34,7,3,1,Female,0-2,0.008171962318153923,1072.5150245687555,8.764552366429799
25-34,7,4,1,Female,0-2,0.009161488336542924,859.0741184414022,7.870397516326801
25-34,7,5,1,Female,0-2,0.013754902074378664,987.7948776738929,13.587021811977248
25-34,7,6,1,Female,0-2,0.021666106123023277,1269.817788803192,27.512006969112715
25-34,7,7,1,Female,0-2,0.013729973046564604,1049.1752900453666,14.405148453444484
35-44,1,1,1,Female,0-2,0.024744530952591708,44270.403541381675,1095.4503707134445
35-44,1,2,1,Female,0-2,0.031417742104779905,59782.90110827839,1878.2437692954513
35-44,1,3,1,Female,0-2,0.018348284299547584,66444.77745839718,1219.147667026842
35-44,1,4,1,Female,0-2,0.020570040103152706,53221.6214342164,1094.770887256643
35-44,1,5,1,Female,0-2,0.030883506794014443,61196.16911471886,1889.9523046220768
35-44,1,6,1,Female,0-2,0.04864631765693271,78668.13840082765,3826.9152501262083
35-44,1,7,1,Female,0-2,0.030827534327202206,64998.827116612214,2003.7535741652446
35-44,2,1,1,Female,0-2,0.014491324471027335,52007.84163581612,753.6625081824164
35-44,2,2,1,Female,0-2,0.01839940695823685,70231.56340697683,1292.219116438182
35-44,2,3,1,Female,0-2,0.010745442772013896,78057.78098121929,838.7654184440865
35-44,2,4,1,Female,0-2,0.012046586216887221,62523.524470807126,753.1950281212361
35-44,2,5,1,Female,0-2,0.018086538743154697,71891.83782935061,1300.2745102171443
35-44,2,6,1,Female,0-2,0.028489106333755048,92417.501455805,2632.8920260743907
35-44,2,7,1,Female,0-2,0.018053759169374375,76359.11211052527,1378.5690204306813
35-44,3,1,1,Female,0-2,0.008899301579633747,33475.542026174815,297.9089440326334
35-44,3,2,1,Female,0-2,0.01129930336837963,45205.48398945917,510.7904775113275
35-44,3,3,1,Female,0-2,0.006598909300943146,50242.93347923226,331.54856104277354
35-44,3,4,1,Female,0-2,0.007397957582378141,40244.10175879488,297.72415775247407
35-44,3,5,1,Female,0-2,0.011107167128088792,46274.14180053206,513.9746266873892
35-44,3,6,1,Female,0-2,0.01749551253960477,59485.75938993252,1040.7338493344766
35-44,3,7,1,Female,0-2,0.011087036786427742,49149.56256859804,544.9230082348785
35-44,4,1,1,Female,0-2,0.005690488854109021,34264.38452191706,194.9810982148747
35-44,4,2,1,Female,0-2,0.00722512427538241,46270.73953583982,334.3118434602929
35-44,4,3,1,Female,0-2,0.004219546836375304,51426.89522085781,216.99819303377484
35-44,4,4,1,Female,0-2,0.004730483037234781,41192.44361523114,194.86015578410107
35-44,4,5,1,Female,0-2,0.007102266416924441,47364.57999202483,336.39586582908925
35-44,4,6,1,Female,0-2,0.011187172185667496,60887.525935238424,681.1592365968075
35-44,4,7,1,Female,0-2,0.00708939445345331,50307.759307307664,356.6515497988911
35-44,5,1,1,Female,0-2,0.00460787877386447,33303.95692362402,153.46059619406378
35-44,5,2,1,Female,0-2,0.005850551269075499,44973.77489270655,263.12137577364007
35-44,5,3,1,Female,0-2,0.00341678207288309,49985.40400034448,170.78923229419573
35-44,5,4,1,Female,0-2,0.003830513148560236,40037.823147325405,153.36540800555935
35-44,5,5,1,Female,0-2,0.005751067001079413,46036.95509986308,264.7616133049971
35-44,5,6,1,Female,0-2,0.009058823341105639,59180.854091692614,536.1089023923922
35-44,5,7,1,Female,0-2,0.005740643916388938,48897.63736520431,280.70392446635253
35-44,6,1,1,Female,0-2,0.006347894796712135,27593.320233106955,175.1594939317513
35-44,6,2,1,Female,0-2,0.008059822269958503,37262.111993239945,300.3260000688031
